результаты в табличном виде:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Verdana	11	стандартный	пунктирная линия	стандартный	обычный	false	false	true	false	100	false	true	true
MS Gothic	48	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	50	true	false	false
Georgia	20	стандартный	жирная пунктирная линия	нет	полужирный	false	true	true	false	50	false	false	true
Garamond	60	цвет из политры	пунктирная линия	нет	обычный	false	false	true	false	100	false	true	true
Tahoma	18	стандартный	жирная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	false
Century Schoolbook	24	стандартный	жирная пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	false
MS PGothic	12	стандартный	жирная пунктирная линия	нет	полужирный	true	false	true	false	100	false	true	false
SimSun	96	стандартный	жирная линия	цвет из политры	курсив	false	false	true	false	50	true	false	false
SimSun-ExtB	40	стандартный	одинарная линия	нет	обычный	true	false	false	false	0	true	false	true
Century	11	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	true	false	50	true	false	true
Cambria	10	цвет из политры	пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	false	true	false
TW Cen MT	12	цвет из политры	двойная линия	нет	обычный	true	false	false	false	0	true	false	false
Cambria	24	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	true
Century Schoolbook	36	цвет из политры	пунктирная линия	нет	полужирный	true	false	true	false	50	false	false	false
TW Cen MT	14	стандартный	одинарная линия	стандартный	курсив	false	false	true	false	50	false	true	false
Cambria	32	цвет из политры	двойная линия	нет	полужирный	true	false	false	false	0	false	true	false
Franklin Gothic Medium	40	стандартный	двойная линия	стандартный	обычный	false	false	false	false	0	false	true	false
Trebuchet MS	48	стандартный	одинарная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	true
Lucida Sans	36	стандартный	жирная линия	цвет из политры	обычный	true	false	false	false	0	false	false	true
Calibri Light	24	цвет из политры	пунктирная линия	нет	курсив	true	false	false	false	0	false	false	true
Times	9	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	true
Segoe UI	72	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	false	true	false	100	false	false	false
Rockwell	36	стандартный	жирная линия	цвет из политры	курсив	true	false	false	false	0	false	true	false
Times New Roman	60	цвет из политры	жирная пунктирная линия	нет	полужирный	true	false	true	false	50	false	true	false
Segoe UI	80	стандартный	одинарная линия	стандартный	полужирный курсив	false	false	true	false	50	true	false	true
Franklin Gothic Book	60	цвет из политры	двойная линия	стандартный	полужирный	false	false	true	false	100	true	false	true
Verdana	36	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	false
Franklin Gothic Medium	16	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	true
Malgun Gothic	88	стандартный	нет	нет	полужирный курсив	true	false	false	false	0	false	true	true
SimSun-ExtB	88	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	false	true	false	50	false	true	false
Corbel	54	стандартный	одинарная линия	стандартный	курсив	false	true	true	false	50	false	true	false
Microsoft JhengHei	10	стандартный	жирная пунктирная линия	нет	полужирный	false	true	true	false	50	true	false	false
Courier New	28	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	false	false	false	false	0	false	true	false
Malgun Gothic	54	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	true	false	true
Bookman Old Style	16	стандартный	одинарная линия	нет	полужирный	false	true	true	false	100	false	true	false
MS Gothic	32	стандартный	пунктирная линия	цвет из политры	обычный	true	false	true	false	100	true	false	true
MPingLiU-ExtB	11	стандартный	нет	нет	обычный	false	true	true	false	100	true	false	true
Constantia	18	стандартный	двойная линия	стандартный	обычный	false	false	true	false	50	false	true	false
Microsoft JhengHei	36	стандартный	жирная пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Segoe UI	88	стандартный	двойная линия	цвет из политры	полужирный курсив	false	false	true	false	50	true	false	false
Candara	96	цвет из политры	одинарная линия	нет	полужирный	false	true	true	false	100	false	true	false
Times New Roman	8	стандартный	нет	нет	полужирный	false	true	false	false	0	false	true	true
Consolas	48	стандартный	пунктирная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	true	true
Gautami	72	стандартный	жирная линия	цвет из политры	полужирный курсив	true	false	false	false	0	true	false	true
Gill Sans MT	14	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	false
Comic Sans MS	66	цвет из политры	жирная пунктирная линия	стандартный	полужирный	false	true	false	false	0	true	false	false
Book Antiqua	16	стандартный	жирная линия	стандартный	курсив	true	false	false	false	0	true	false	false
Arial	14	стандартный	жирная линия	стандартный	курсив	false	false	true	false	50	false	false	false
Segoe UI	10.5	стандартный	одинарная линия	цвет из политры	полужирный	false	true	true	false	50	false	false	true
Franklin Gothic Medium	88	цвет из политры	пунктирная линия	стандартный	полужирный	false	false	false	false	0	false	true	true
Gill Sans MT	60	цвет из политры	двойная линия	нет	полужирный курсив	false	true	true	false	50	false	true	true
Lucida Sans Unicode	18	стандартный	жирная линия	нет	полужирный	false	false	false	false	0	false	true	false
Calibri	12	стандартный	двойная линия	цвет из политры	полужирный	false	false	false	false	0	false	true	true
Segoe UI	40	цвет из политры	нет	нет	полужирный курсив	false	true	true	false	50	false	true	false
Courier New	60	стандартный	жирная линия	стандартный	обычный	false	true	true	false	50	true	false	true
Candara	8	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
Comic Sans MS	16	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	false
Corbel	12	цвет из политры	жирная пунктирная линия	нет	курсив	false	false	false	false	0	true	false	false
Franklin Gothic Book	88	цвет из политры	двойная линия	стандартный	курсив	false	true	true	false	50	false	true	false
Times	60	стандартный	одинарная линия	нет	полужирный курсив	true	false	true	false	50	false	true	true
MPingLiU-ExtB	96	цвет из политры	двойная линия	стандартный	курсив	false	true	false	false	0	true	false	false
Consolas	28	цвет из политры	двойная линия	цвет из политры	курсив	true	false	true	false	50	false	true	true
Corbel	36	стандартный	жирная линия	цвет из политры	полужирный	true	false	false	false	0	true	false	true
Segoe UI	10	цвет из политры	жирная линия	стандартный	курсив	true	false	true	false	100	false	false	false
Times	8	цвет из политры	нет	нет	курсив	false	true	false	false	0	false	true	true
Tahoma	72	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	false	false	false	0	true	false	false
SimSun-ExtB	96	цвет из политры	двойная линия	цвет из политры	обычный	false	true	true	false	50	false	true	true
Gill Sans MT	18	стандартный	пунктирная линия	стандартный	обычный	false	false	true	false	50	false	false	true
Segoe UI Light	88	цвет из политры	одинарная линия	нет	обычный	false	true	true	false	100	false	false	true
Franklin Gothic Book	32	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
Comic Sans MS	8	стандартный	жирная линия	стандартный	полужирный	true	false	true	false	50	false	true	false
Georgia	9	цвет из политры	жирная линия	стандартный	полужирный курсив	false	true	false	false	0	true	false	true
Segoe UI Light	72	стандартный	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Calibri	9	цвет из политры	двойная линия	нет	полужирный курсив	true	false	false	false	0	false	true	true
TH SarabunPSK	60	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	false
Segoe UI	16	стандартный	одинарная линия	цвет из политры	обычный	false	false	true	false	100	false	true	false
Courier New	66	цвет из политры	пунктирная линия	нет	обычный	false	true	false	false	0	false	true	true
Segoe UI Light	9	стандартный	пунктирная линия	цвет из политры	обычный	false	true	true	false	100	true	false	false
Microsoft YaHei	40	стандартный	нет	нет	обычный	true	false	false	false	0	false	true	false
Trebuchet MS	40	цвет из политры	одинарная линия	цвет из политры	обычный	false	true	true	false	100	false	true	false
TW Cen MT	10	цвет из политры	одинарная линия	нет	полужирный курсив	false	true	true	false	100	false	true	false
Book Antiqua	72	цвет из политры	жирная пунктирная линия	стандартный	обычный	true	false	true	false	100	false	false	false
Calibri	14	цвет из политры	жирная линия	нет	курсив	true	false	true	false	50	false	true	false
Lucida Sans Unicode	44	стандартный	пунктирная линия	нет	полужирный курсив	true	false	true	false	50	false	false	true
Sylfaen	11	стандартный	одинарная линия	нет	обычный	false	true	true	false	50	false	false	true
Franklin Gothic Book	36	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	true
MPingLiU-ExtB	36	стандартный	нет	нет	полужирный	false	false	true	false	50	true	false	true
Lucida Sans Unicode	9	цвет из политры	пунктирная линия	стандартный	полужирный курсив	true	false	true	false	100	false	false	true
Times	24	стандартный	одинарная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	true
TH SarabunPSK	8	стандартный	нет	нет	полужирный	true	false	true	false	100	false	true	true
MS PGothic	54	стандартный	жирная линия	цвет из политры	курсив	false	false	true	false	100	true	false	false
Rockwell	28	цвет из политры	жирная пунктирная линия	нет	курсив	false	false	true	false	100	false	true	true
Bookman Old Style	60	стандартный	жирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	true
SimSun	10	стандартный	жирная линия	цвет из политры	обычный	false	true	true	false	100	true	false	false
Arial Black	96	цвет из политры	нет	нет	полужирный	false	false	true	false	50	false	true	false
MS Gothic	9	цвет из политры	пунктирная линия	нет	полужирный курсив	false	true	true	false	50	false	true	false
Microsoft YaHei	18	цвет из политры	пунктирная линия	стандартный	обычный	true	false	true	false	50	false	false	true
Consolas	80	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	100	false	true	true
MPingLiU-ExtB	9	цвет из политры	жирная линия	стандартный	полужирный	false	true	true	false	50	false	true	false
Constantia	54	цвет из политры	двойная линия	нет	курсив	false	false	true	false	100	false	false	false
Calibri Light	54	стандартный	пунктирная линия	стандартный	обычный	false	false	true	false	100	true	false	true
Bookman Old Style	24	стандартный	нет	нет	курсив	false	false	false	false	0	true	false	true
Sylfaen	32	стандартный	двойная линия	стандартный	полужирный курсив	false	true	true	false	100	true	false	true
Trebuchet MS	8	цвет из политры	пунктирная линия	стандартный	полужирный	false	false	true	false	100	true	false	false
Gill Sans MT	32	цвет из политры	жирная линия	нет	обычный	false	false	true	false	100	false	true	true
Arial Black	18	стандартный	двойная линия	стандартный	полужирный	true	false	true	false	50	false	false	true
TH SarabunPSK	54	стандартный	жирная пунктирная линия	нет	обычный	false	false	true	false	100	true	false	false
Tahoma	14	цвет из политры	одинарная линия	стандартный	курсив	false	true	true	false	50	false	true	true
Century Schoolbook	44	цвет из политры	жирная линия	нет	курсив	false	false	false	false	0	false	true	false
Tahoma	28	цвет из политры	нет	нет	полужирный	false	true	false	false	0	false	true	false
MS PGothic	72	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	false	true	false
Corbel	16	стандартный	пунктирная линия	стандартный	обычный	true	false	false	false	0	false	true	false
MS Gothic	16	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
SimSun	11	цвет из политры	жирная линия	нет	курсив	false	true	false	false	0	false	true	true
Microsoft JhengHei	10.5	стандартный	жирная линия	нет	полужирный курсив	false	false	true	false	100	false	true	true
TW Cen MT	72	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	100	false	false	false
Book Antiqua	36	стандартный	жирная линия	цвет из политры	полужирный	false	true	true	false	100	false	false	false
Segoe UI Light	10	цвет из политры	двойная линия	стандартный	курсив	false	false	true	false	50	false	true	true
MS PGothic	66	цвет из политры	пунктирная линия	стандартный	курсив	false	true	true	false	100	true	false	true
Arial Black	9	стандартный	пунктирная линия	нет	полужирный	true	false	false	false	0	false	true	true
Calibri	16	стандартный	жирная линия	стандартный	полужирный	true	false	true	false	50	false	true	true
Franklin Gothic Book	10	цвет из политры	нет	нет	курсив	true	false	true	false	100	true	false	true
Century	18	цвет из политры	жирная пунктирная линия	нет	курсив	false	true	true	false	50	false	true	false
Arial Black	72	стандартный	жирная пунктирная линия	стандартный	обычный	true	false	false	false	0	false	false	true
MPingLiU-ExtB	10.5	цвет из политры	одинарная линия	нет	курсив	false	true	true	false	50	true	false	true
Calibri Light	20	цвет из политры	одинарная линия	нет	полужирный	false	true	true	false	50	false	false	false
Calibri Light	14	цвет из политры	пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Century	96	стандартный	одинарная линия	нет	обычный	false	true	true	false	100	false	false	false
Consolas	44	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	true
Times	16	стандартный	одинарная линия	стандартный	курсив	false	true	false	false	0	false	false	false
Sylfaen	36	стандартный	жирная пунктирная линия	нет	полужирный курсив	true	false	false	false	0	true	false	false
Courier New	9	стандартный	одинарная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	false	false
Gautami	12	стандартный	пунктирная линия	цвет из политры	полужирный	false	false	true	false	100	true	false	true
Franklin Gothic Medium	10	стандартный	жирная линия	стандартный	курсив	false	true	false	false	0	false	true	false
Verdana	8	цвет из политры	пунктирная линия	цвет из политры	полужирный	true	false	true	false	50	false	true	false
Consolas	40	стандартный	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	true	false	true
Gill Sans MT	36	цвет из политры	двойная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	false	false
Gautami	66	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	false	true	false	100	false	false	false
Rockwell	96	стандартный	одинарная линия	стандартный	обычный	true	false	true	false	100	true	false	true
Calibri Light	96	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	50	false	false	false
Century Gothic	66	цвет из политры	двойная линия	цвет из политры	обычный	false	true	true	false	50	true	false	true
SimSun	54	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	false	false	false	false	0	false	true	false
Century Schoolbook	88	цвет из политры	жирная пунктирная линия	нет	полужирный	true	false	true	false	50	true	false	true
TH SarabunPSK	28	цвет из политры	двойная линия	стандартный	полужирный курсив	true	false	true	false	100	false	true	false
Times New Roman	40	цвет из политры	жирная линия	стандартный	полужирный курсив	false	true	true	false	100	true	false	false
Microsoft JhengHei	32	цвет из политры	пунктирная линия	нет	обычный	false	true	true	false	50	false	false	false
Tahoma	40	цвет из политры	жирная линия	цвет из политры	полужирный курсив	true	false	true	false	100	false	true	false
Times	14	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	false	false	0	false	true	true
Calibri	20	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	false	true	true
Cambria	8	цвет из политры	одинарная линия	цвет из политры	курсив	false	false	true	false	100	true	false	false
Calibri	48	цвет из политры	пунктирная линия	цвет из политры	полужирный	true	false	false	false	0	true	false	true
Rockwell	14	цвет из политры	жирная линия	стандартный	полужирный	false	false	true	false	50	true	false	false
Century Schoolbook	48	стандартный	двойная линия	цвет из политры	обычный	false	false	true	false	100	false	true	true
MPingLiU-ExtB	44	цвет из политры	двойная линия	нет	курсив	false	true	true	false	100	false	true	true
Segoe UI Light	66	цвет из политры	нет	нет	курсив	true	false	false	false	0	false	true	false
Comic Sans MS	54	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Times	44	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	false	true
Segoe UI Light	60	цвет из политры	жирная линия	стандартный	курсив	false	false	true	false	50	false	false	true
MS PGothic	14	стандартный	жирная пунктирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	false
MPingLiU-ExtB	24	цвет из политры	одинарная линия	стандартный	обычный	false	false	true	false	50	true	false	false
SimSun-ExtB	60	стандартный	двойная линия	цвет из политры	полужирный	false	true	false	false	0	false	true	true
Gill Sans MT	66	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	false	false	0	false	true	true
Calibri Light	40	цвет из политры	одинарная линия	нет	обычный	false	true	true	false	50	false	false	false
Malgun Gothic	8	стандартный	жирная линия	стандартный	курсив	true	false	true	false	50	false	false	true
Constantia	28	цвет из политры	нет	нет	обычный	false	true	true	false	100	false	true	true
TH SarabunPSK	11	цвет из политры	двойная линия	нет	полужирный	false	true	true	false	50	false	true	false
Book Antiqua	60	стандартный	двойная линия	стандартный	полужирный	false	true	true	false	100	false	true	false
Calibri	11	цвет из политры	двойная линия	нет	обычный	false	true	true	false	100	false	false	true
Lucida Sans	40	цвет из политры	двойная линия	цвет из политры	обычный	true	false	true	false	50	false	false	false
Microsoft JhengHei	16	стандартный	одинарная линия	нет	курсив	false	true	true	false	100	false	true	true
Verdana	48	стандартный	пунктирная линия	цвет из политры	полужирный	false	false	false	false	0	false	true	false
Lucida Sans Unicode	14	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	false	true	false	50	false	true	false
Bookman Old Style	8	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	false	true	true	false	100	false	false	true
Gill Sans MT	8	стандартный	жирная линия	нет	полужирный курсив	true	false	true	false	50	true	false	true
Bookman Old Style	32	стандартный	жирная пунктирная линия	нет	полужирный	false	false	false	false	0	false	true	false
Tahoma	48	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	100	false	true	true
Segoe UI	14	цвет из политры	пунктирная линия	стандартный	курсив	true	false	true	false	50	true	false	false
Calibri Light	9	стандартный	пунктирная линия	цвет из политры	обычный	false	false	true	false	100	true	false	false
Century	44	цвет из политры	пунктирная линия	нет	полужирный курсив	false	true	false	false	0	true	false	true
Lucida Sans	96	цвет из политры	жирная пунктирная линия	нет	курсив	true	false	true	false	50	true	false	false
Georgia	44	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	false
Franklin Gothic Book	18	стандартный	пунктирная линия	стандартный	обычный	false	true	true	false	100	false	true	true
Gill Sans MT	20	цвет из политры	пунктирная линия	стандартный	полужирный курсив	true	false	true	false	50	false	true	false
TH SarabunPSK	32	цвет из политры	одинарная линия	стандартный	полужирный курсив	true	false	false	false	0	false	false	true
MS Gothic	10.5	цвет из политры	нет	нет	полужирный	false	false	false	false	0	true	false	false
SimSun	16	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	true	true	false	100	true	false	false
Century Gothic	24	стандартный	пунктирная линия	стандартный	обычный	false	false	true	false	100	false	false	false
Rockwell	40	стандартный	двойная линия	нет	курсив	true	false	true	false	100	true	false	false
Arial Black	20	цвет из политры	двойная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	false
Calibri	80	стандартный	одинарная линия	стандартный	обычный	true	false	false	false	0	true	false	true
Times	36	цвет из политры	одинарная линия	стандартный	полужирный курсив	false	true	true	false	50	false	true	false
SimSun-ExtB	24	цвет из политры	одинарная линия	нет	полужирный курсив	true	false	true	false	100	false	true	true
Microsoft JhengHei	20	цвет из политры	пунктирная линия	нет	полужирный курсив	true	false	false	false	0	false	true	true
Comic Sans MS	96	стандартный	пунктирная линия	цвет из политры	курсив	false	false	true	false	50	false	true	true
Consolas	72	стандартный	двойная линия	стандартный	полужирный курсив	false	true	true	false	100	false	false	true
Gill Sans MT	80	стандартный	жирная пунктирная линия	нет	обычный	false	false	true	false	50	false	true	false
Malgun Gothic	18	стандартный	одинарная линия	нет	обычный	false	true	true	false	100	false	true	false
Georgia	10	стандартный	жирная пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Segoe UI Light	16	цвет из политры	пунктирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	false
MS PGothic	28	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	false	false	false	false	0	false	true	false
Century	80	стандартный	жирная пунктирная линия	стандартный	курсив	true	false	false	false	0	false	true	true
Sylfaen	96	цвет из политры	пунктирная линия	стандартный	полужирный	false	false	false	false	0	false	false	true
SimSun-ExtB	28	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	100	false	true	false
Verdana	10	стандартный	жирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	false
Century Schoolbook	18	цвет из политры	двойная линия	стандартный	полужирный	true	false	false	false	0	false	false	true
Garamond	80	стандартный	двойная линия	стандартный	полужирный курсив	true	false	true	false	100	true	false	true
Garamond	88	цвет из политры	двойная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	true
Book Antiqua	9	стандартный	жирная пунктирная линия	стандартный	полужирный	false	true	false	false	0	false	false	false
Georgia	28	стандартный	пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Gautami	14	стандартный	нет	нет	курсив	false	true	true	false	100	false	true	false
TH SarabunPSK	44	цвет из политры	двойная линия	стандартный	обычный	true	false	false	false	0	false	true	false
Lucida Sans	32	цвет из политры	жирная линия	цвет из политры	полужирный	true	false	true	false	50	false	true	false
MS Gothic	88	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	true
MS PGothic	10.5	цвет из политры	жирная линия	стандартный	курсив	false	true	false	false	0	false	false	false
Segoe UI	60	цвет из политры	двойная линия	цвет из политры	полужирный	false	true	true	false	100	false	false	true
Candara	11	стандартный	двойная линия	нет	обычный	false	false	false	false	0	false	true	true
Constantia	20	стандартный	одинарная линия	цвет из политры	курсив	false	true	true	false	100	false	true	false
Bookman Old Style	54	цвет из политры	двойная линия	нет	полужирный	false	false	false	false	0	true	false	false
